frame_id,timestamp,detections,tracks,anomalies,centers,boxes
11,2025-11-08 13:25:08.291032,1,"{4: array([149.70485662, 139.88911343])}",{},"[[np.float32(149.54689), np.float32(139.94728)]]","[[np.float32(138.32501), np.float32(96.41514), np.float32(160.76877), np.float32(183.47943)]]"
12,2025-11-08 13:25:09.575143,1,"{3: array([385.84434487, 162.90755998])}",{},"[[np.float32(385.83313), np.float32(162.82462)]]","[[np.float32(356.2083), np.float32(148.84874), np.float32(415.45798), np.float32(176.80048)]]"
13,2025-11-08 13:25:10.768951,0,{},{},[],[]
14,2025-11-08 13:25:12.020923,1,"{5: array([293.18450928,  51.52363205])}",{},"[[np.float32(293.1845), np.float32(51.523632)]]","[[np.float32(217.2908), np.float32(34.716553), np.float32(369.0782), np.float32(68.33071)]]"
15,2025-11-08 13:25:13.179562,1,"{6: array([111.05780792,  63.76999283])}",{},"[[np.float32(111.05781), np.float32(63.769993)]]","[[np.float32(28.879072), np.float32(32.859352), np.float32(193.23654), np.float32(94.68063)]]"
16,2025-11-08 13:25:14.464549,2,"{4: array([108.05794606, 232.7675956 ]), 7: array([386.82025146, 118.72480011])}",{},"[[np.float32(108.08752), np.float32(232.81812)], [np.float32(386.82025), np.float32(118.7248)]]","[[np.float32(79.98331), np.float32(217.6826), np.float32(136.19173), np.float32(247.95361)], [np.float32(357.76782), np.float32(110.44116), np.float32(415.8727), np.float32(127.00844)]]"
17,2025-11-08 13:25:15.752374,1,"{5: array([273.88800819, 112.56535217])}",{},"[[np.float32(273.8687), np.float32(112.62639)]]","[[np.float32(210.87376), np.float32(57.864983), np.float32(336.86365), np.float32(167.3878)]]"
18,2025-11-08 13:25:17.137664,1,"{5: array([195.53415514, 154.35194371])}",{},"[[np.float32(189.33298), np.float32(156.35788)]]","[[np.float32(145.41203), np.float32(114.29653), np.float32(233.25392), np.float32(198.41922)]]"
19,2025-11-08 13:25:18.473796,0,{},{},[],[]
20,2025-11-08 13:25:19.831303,1,"{8: array([236.60627747, 218.55941772])}",{},"[[np.float32(236.60628), np.float32(218.55942)]]","[[np.float32(158.4076), np.float32(199.59862), np.float32(314.80496), np.float32(237.52023)]]"
21,2025-11-08 13:25:21.114739,1,"{8: array([158.56851341, 212.27671342])}",{},"[[np.float32(158.17833), np.float32(212.2453)]]","[[np.float32(84.50972), np.float32(193.24663), np.float32(231.84694), np.float32(231.24399)]]"
22,2025-11-08 13:25:22.446654,1,"{9: array([263.66629028, 132.76467896])}",{},"[[np.float32(263.6663), np.float32(132.76468)]]","[[np.float32(178.03305), np.float32(117.95115), np.float32(349.29953), np.float32(147.5782)]]"
23,2025-11-08 13:25:23.688250,1,"{9: array([275.96457137, 142.80232096])}",{},"[[np.float32(276.02606), np.float32(142.85251)]]","[[np.float32(190.81148), np.float32(127.590034), np.float32(361.24063), np.float32(158.11497)]]"
24,2025-11-08 13:25:24.828304,1,"{9: array([193.78411118, 148.67674276])}",{},"[[np.float32(192.09349), np.float32(148.69312)]]","[[np.float32(122.14326), np.float32(137.87439), np.float32(262.04373), np.float32(159.51183)]]"
25,2025-11-08 13:25:26.150659,1,"{9: array([165.09124979, 144.53495749])}",{},"[[np.float32(175.77362), np.float32(142.4408)]]","[[np.float32(107.95542), np.float32(130.59818), np.float32(243.59181), np.float32(154.28342)]]"
26,2025-11-08 13:25:27.286243,1,"{10: array([177.13031006, 233.29823303])}",{},"[[np.float32(177.13031), np.float32(233.29823)]]","[[np.float32(169.72551), np.float32(213.6647), np.float32(184.5351), np.float32(252.93176)]]"
27,2025-11-08 13:25:28.413858,1,"{10: array([230.94912523, 172.9803424 ])}",{},"[[np.float32(231.21822), np.float32(172.67876)]]","[[np.float32(214.48691), np.float32(132.08144), np.float32(247.94952), np.float32(213.27608)]]"
28,2025-11-08 13:25:29.486866,1,"{10: array([248.76677716, 181.50203745])}",{},"[[np.float32(248.59274), np.float32(182.2424)]]","[[np.float32(211.8602), np.float32(156.43309), np.float32(285.3253), np.float32(208.05173)]]"
29,2025-11-08 13:25:30.692240,1,"{10: array([282.13819134, 134.34117774])}",{},"[[np.float32(285.34372), np.float32(122.90201)]]","[[np.float32(207.45381), np.float32(91.11678), np.float32(363.23364), np.float32(154.68724)]]"
30,2025-11-08 13:25:31.889036,1,"{11: array([ 79.27226257, 170.8142395 ])}",{},"[[np.float32(79.27226), np.float32(170.81424)]]","[[np.float32(10.837834), np.float32(146.05331), np.float32(147.7067), np.float32(195.57516)]]"
31,2025-11-08 13:25:33.041279,1,"{11: array([134.28771609, 114.31428032])}",{},"[[np.float32(134.56279), np.float32(114.031784)]]","[[np.float32(67.53215), np.float32(93.05081), np.float32(201.59343), np.float32(135.01276)]]"
32,2025-11-08 13:25:34.360706,1,"{11: array([167.54479365, 115.95900353])}",{},"[[np.float32(167.65482), np.float32(116.531204)]]","[[np.float32(121.13313), np.float32(103.81801), np.float32(214.1765), np.float32(129.2444)]]"
33,2025-11-08 13:25:35.669787,1,"{11: array([251.87493615, 148.92592538])}",{},"[[np.float32(262.6136), np.float32(155.66937)]]","[[np.float32(168.49342), np.float32(135.57109), np.float32(356.73373), np.float32(175.76764)]]"
34,2025-11-08 13:25:36.917817,1,"{12: array([165.91160583, 158.51570129])}",{},"[[np.float32(165.9116), np.float32(158.5157)]]","[[np.float32(69.54989), np.float32(139.58841), np.float32(262.27332), np.float32(177.443)]]"
35,2025-11-08 13:25:38.270926,0,{},{},[],[]
36,2025-11-08 13:25:39.631367,1,"{12: array([212.33175541, 203.01287777])}",{},"[[np.float32(212.42459), np.float32(203.10187)]]","[[np.float32(104.869156), np.float32(186.00417), np.float32(319.98004), np.float32(220.19957)]]"
37,2025-11-08 13:25:40.905774,1,"{13: array([154.63493347, 126.74252319])}",{},"[[np.float32(154.63493), np.float32(126.74252)]]","[[np.float32(100.33967), np.float32(117.56049), np.float32(208.9302), np.float32(135.92456)]]"
38,2025-11-08 13:25:42.293352,2,"{12: array([184.65158345, 175.33227541]), 13: array([141.30353361, 173.74169167])}",{},"[[np.float32(141.23688), np.float32(173.97668)], [np.float32(183.87337), np.float32(174.57253)]]","[[np.float32(48.198776), np.float32(157.37535), np.float32(234.27498), np.float32(190.57802)], [np.float32(87.6416), np.float32(158.29346), np.float32(280.10513), np.float32(190.8516)]]"
39,2025-11-08 13:25:43.602333,1,"{12: array([182.38126411, 155.06042102])}",{},"[[np.float32(186.83807), np.float32(152.14772)]]","[[np.float32(116.111565), np.float32(127.10558), np.float32(257.56458), np.float32(177.18987)]]"
40,2025-11-08 13:25:44.917625,0,{},{},[],[]
41,2025-11-08 13:25:46.254948,0,{},{},[],[]
42,2025-11-08 13:25:47.687463,1,"{14: array([258.77478027,  55.2644043 ])}",{},"[[np.float32(258.77478), np.float32(55.264404)]]","[[np.float32(251.08595), np.float32(35.202038), np.float32(266.4636), np.float32(75.326775)]]"
43,2025-11-08 13:25:49.006497,1,"{12: array([162.78952396,  61.50619328])}",{},"[[np.float32(165.13852), np.float32(57.0744)]]","[[np.float32(156.36177), np.float32(40.821503), np.float32(173.91528), np.float32(73.3273)]]"
44,2025-11-08 13:25:50.045777,1,"{14: array([213.41356336, 138.31720958])}",{},"[[np.float32(213.32285), np.float32(138.4833)]]","[[np.float32(204.55772), np.float32(116.305885), np.float32(222.08797), np.float32(160.66072)]]"
45,2025-11-08 13:25:51.114142,2,"{15: array([ 29.39047813, 122.10131073]), 16: array([424.29187012,  68.20323944])}",{},"[[np.float32(29.390478), np.float32(122.10131)], [np.float32(424.29187), np.float32(68.20324)]]","[[np.float32(20.490417), np.float32(92.8692), np.float32(38.29054), np.float32(151.33342)], [np.float32(414.2792), np.float32(42.782467), np.float32(434.30453), np.float32(93.62401)]]"
46,2025-11-08 13:25:52.162243,1,"{14: array([150.99334027, 165.42526431])}",{},"[[np.float32(150.67963), np.float32(164.95297)]]","[[np.float32(133.80487), np.float32(132.33307), np.float32(167.55437), np.float32(197.57286)]]"
47,2025-11-08 13:25:53.156525,1,"{14: array([114.04576283, 136.36325148])}",{},"[[np.float32(111.58027), np.float32(118.728455)]]","[[np.float32(96.06914), np.float32(75.233665), np.float32(127.0914), np.float32(162.22325)]]"
48,2025-11-08 13:25:54.352963,1,"{17: array([249.60028076, 144.42655945])}",{},"[[np.float32(249.60028), np.float32(144.42656)]]","[[np.float32(242.76624), np.float32(128.82164), np.float32(256.43433), np.float32(160.03148)]]"
49,2025-11-08 13:25:55.434022,0,{},{},[],[]
50,2025-11-08 13:25:56.598288,1,"{15: array([102.53504332,  62.40873919])}",{},"[[np.float32(102.56317), np.float32(62.385784)]]","[[np.float32(91.365524), np.float32(33.442444), np.float32(113.76081), np.float32(91.329124)]]"
51,2025-11-08 13:25:57.572103,1,"{17: array([172.86658294, 141.66996217])}",{},"[[np.float32(172.78986), np.float32(141.6672)]]","[[np.float32(157.32617), np.float32(96.647896), np.float32(188.25354), np.float32(186.68652)]]"
52,2025-11-08 13:25:58.286458,1,"{15: array([101.39483999,  54.88517356])}",{},"[[np.float32(99.71185), np.float32(55.772633)]]","[[np.float32(88.955475), np.float32(28.091087), np.float32(110.46823), np.float32(83.45418)]]"
53,2025-11-08 13:25:59.010255,1,"{18: array([246.10762024, 162.64614868])}",{},"[[np.float32(246.10762), np.float32(162.64615)]]","[[np.float32(214.1181), np.float32(152.48843), np.float32(278.09714), np.float32(172.80388)]]"
54,2025-11-08 13:25:59.924622,1,"{18: array([206.96885423, 144.76524568])}",{},"[[np.float32(206.77316), np.float32(144.67584)]]","[[np.float32(143.17542), np.float32(127.94831), np.float32(270.3709), np.float32(161.40338)]]"
55,2025-11-08 13:26:01.067685,1,"{18: array([171.01198906, 124.42344453])}",{},"[[np.float32(170.69835), np.float32(124.20523)]]","[[np.float32(154.44727), np.float32(62.677456), np.float32(186.94943), np.float32(185.733)]]"
56,2025-11-08 13:26:02.148273,1,"{18: array([188.54655737, 106.8416696 ])}",{},"[[np.float32(199.65976), np.float32(107.35199)]]","[[np.float32(172.39832), np.float32(80.0412), np.float32(226.92122), np.float32(134.66278)]]"
57,2025-11-08 13:26:03.347595,0,{},{},[],[]
58,2025-11-08 13:26:04.648749,1,"{18: array([184.76277021,  85.30839797])}",{},"[[np.float32(185.61496), np.float32(88.56123)]]","[[np.float32(178.7687), np.float32(74.448006), np.float32(192.4612), np.float32(102.67447)]]"
59,2025-11-08 13:26:05.763235,1,"{18: array([168.37146755,  74.87292525])}",{},"[[np.float32(159.05069), np.float32(77.07968)]]","[[np.float32(149.89987), np.float32(51.3432), np.float32(168.2015), np.float32(102.81617)]]"
60,2025-11-08 13:26:06.993369,2,"{18: array([128.70889612,  79.96878117]), 19: array([366.45703125, 120.50935364])}",{},"[[np.float32(366.45703), np.float32(120.50935)], [np.float32(94.921585), np.float32(98.11415)]]","[[np.float32(356.58615), np.float32(94.183945), np.float32(376.3279), np.float32(146.83476)], [np.float32(83.33544), np.float32(76.9481), np.float32(106.50773), np.float32(119.280205)]]"
61,2025-11-08 13:26:08.064655,1,"{20: array([211.7565918 , 176.10620117])}",{},"[[np.float32(211.75659), np.float32(176.1062)]]","[[np.float32(194.7004), np.float32(122.233864), np.float32(228.81277), np.float32(229.97855)]]"
62,2025-11-08 13:26:09.295330,1,"{20: array([232.86555635, 154.10501493])}",{},"[[np.float32(232.9711), np.float32(153.99501)]]","[[np.float32(208.85017), np.float32(100.862015), np.float32(257.092), np.float32(207.128)]]"
63,2025-11-08 13:26:10.463533,1,"{20: array([230.4747081, 145.5493423])}",{},"[[np.float32(230.22693), np.float32(145.59615)]]","[[np.float32(215.25072), np.float32(103.556206), np.float32(245.20314), np.float32(187.63608)]]"
64,2025-11-08 13:26:11.703633,1,"{20: array([221.34362786,  74.35361979])}",{},"[[np.float32(219.85358), np.float32(61.239647)]]","[[np.float32(199.84892), np.float32(21.668922), np.float32(239.85825), np.float32(100.81037)]]"
65,2025-11-08 13:26:12.896102,1,"{21: array([168.34976196, 150.03520203])}",{},"[[np.float32(168.34976), np.float32(150.0352)]]","[[np.float32(121.17302), np.float32(125.88314), np.float32(215.52652), np.float32(174.18726)]]"
66,2025-11-08 13:26:14.289465,1,"{21: array([261.43241968, 117.11692089])}",{},"[[np.float32(261.89783), np.float32(116.95233)]]","[[np.float32(229.24507), np.float32(80.6413), np.float32(294.5506), np.float32(153.26337)]]"
67,2025-11-08 13:26:15.444019,1,"{21: array([233.9155589 , 113.59570379])}",{},"[[np.float32(232.49806), np.float32(113.843346)]]","[[np.float32(212.83789), np.float32(45.28906), np.float32(252.15823), np.float32(182.39763)]]"
68,2025-11-08 13:26:16.659952,1,"{21: array([170.76985368, 123.44967722])}",{},"[[np.float32(162.8598), np.float32(126.33029)]]","[[np.float32(116.110886), np.float32(106.85341), np.float32(209.60873), np.float32(145.80717)]]"
69,2025-11-08 13:26:17.875353,1,"{21: array([147.20892018, 104.22809162])}",{},"[[np.float32(157.74158), np.float32(94.038925)]]","[[np.float32(133.64827), np.float32(84.73142), np.float32(181.83487), np.float32(103.34643)]]"
70,2025-11-08 13:26:19.142101,1,"{21: array([158.46030342, 122.33572212])}",{},"[[np.float32(190.76657), np.float32(138.21043)]]","[[np.float32(174.6098), np.float32(89.246994), np.float32(206.92334), np.float32(187.17387)]]"
71,2025-11-08 13:26:20.229699,1,"{21: array([122.40134917, 109.82014542])}",{},"[[np.float32(108.9113), np.float32(96.63283)]]","[[np.float32(100.06106), np.float32(71.62734), np.float32(117.76155), np.float32(121.63831)]]"
72,2025-11-08 13:26:21.533359,1,"{21: array([118.54374814, 112.50336688])}",{},"[[np.float32(142.06357), np.float32(117.57942)]]","[[np.float32(122.3776), np.float32(52.560673), np.float32(161.74953), np.float32(182.59818)]]"
73,2025-11-08 13:26:22.860444,1,"{22: array([220.26174927, 156.19825745])}",{},"[[np.float32(220.26175), np.float32(156.19826)]]","[[np.float32(205.55327), np.float32(119.0061), np.float32(234.97025), np.float32(193.39041)]]"
74,2025-11-08 13:26:24.131919,1,"{22: array([188.00644358, 156.54474585])}",{},"[[np.float32(187.84517), np.float32(156.54648)]]","[[np.float32(170.55785), np.float32(118.30872), np.float32(205.13249), np.float32(194.78424)]]"
75,2025-11-08 13:26:25.405873,1,"{22: array([239.06677257, 175.6699766 ])}",{},"[[np.float32(240.35275), np.float32(176.03271)]]","[[np.float32(224.29259), np.float32(127.70644), np.float32(256.41293), np.float32(224.359)]]"
76,2025-11-08 13:26:26.699448,1,"{22: array([239.27872302, 160.90065203])}",{},"[[np.float32(229.02313), np.float32(153.91005)]]","[[np.float32(214.34816), np.float32(104.744804), np.float32(243.69812), np.float32(203.07529)]]"
77,2025-11-08 13:26:28.015371,1,"{22: array([235.58232401, 176.13654202])}",{},"[[np.float32(225.30156), np.float32(183.28735)]]","[[np.float32(206.31094), np.float32(115.66385), np.float32(244.29218), np.float32(250.91086)]]"
78,2025-11-08 13:26:29.315377,1,"{23: array([156.18397522,  65.93295288])}",{},"[[np.float32(156.18398), np.float32(65.93295)]]","[[np.float32(146.26721), np.float32(43.901085), np.float32(166.10074), np.float32(87.96481)]]"
79,2025-11-08 13:26:30.703639,1,"{22: array([220.19484604, 167.50789738])}",{},"[[np.float32(207.44681), np.float32(160.13474)]]","[[np.float32(191.59001), np.float32(112.25424), np.float32(223.30362), np.float32(208.01523)]]"
